postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines) ,Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB) for lines < 10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Average data usage (GB),Median download speed (Mbit/s)__Score,Overall_Score
AB107GY,AB10 7GY,AB,0.05936675461741424,18.1,2.3,80.0,6.3,19.8,61.8,,1.1,3.5,0.3,20.0,0.9,2.6,15.7,,,4.0,8.0,6.0,15.0,,15.0,72.0,180.0,217.0,,123,-2.294536226134448,0.9279588058881068
AB107GZ,AB10 7GZ,AB,0.06992084432717677,26.9,5.5,80.0,8.0,16.7,61.0,,1.1,6.6,0.4,20.0,0.9,3.0,16.9,,,4.0,14.0,4.0,9.0,,9.0,106.0,255.0,174.0,,153,-2.1798094148277256,0.9279588058881068
AB107HA,AB10 7HA,AB,0.287598944591029,22.4,4.8,41.9,6.7,26.0,37.7,,5.3,5.7,0.5,17.2,0.8,8.0,10.1,,,4.0,6.0,4.0,7.0,,7.0,157.0,153.0,226.0,,189,0.18643106837342346,0.9279588058881068
AB107HB,AB10 7HB,AB,0.47229551451187335,40.1,5.9,79.4,7.5,11.7,57.1,,10.0,9.8,0.6,20.0,1.0,1.0,14.6,,,4.0,4.0,4.0,11.0,,11.0,532.0,625.0,335.0,,418,2.1941502662410652,0.9279588058881068
AB107HD,AB10 7HD,AB,0.2308707124010554,26.2,2.6,77.2,6.5,17.6,49.7,,3.6,6.6,0.5,20.0,0.9,3.1,14.3,,,4.0,11.0,14.0,16.0,,16.0,158.0,527.0,414.0,,366,-0.43022554240020955,0.9279588058881068
AB107HE,AB10 7HE,AB,0.525065963060686,38.7,5.9,56.5,5.9,17.6,46.9,,12.4,11.2,0.8,20.0,0.8,3.1,13.8,,,4.0,11.0,14.0,4.0,,4.0,114.0,527.0,427.0,,364,2.7677843227746766,0.9279588058881068
AB107HF,AB10 7HF,AB,0.1279683377308707,24.6,9.2,79.9,9.2,12.8,53.3,,1.0,4.7,0.8,20.0,1.0,1.0,13.3,,,4.0,11.0,6.0,4.0,,4.0,12.0,13.0,44.0,,23,-1.5488119526407524,0.9279588058881068
AB107HG,AB10 7HG,AB,0.02770448548812665,12.5,2.7,78.2,5.0,15.2,78.2,,1.1,2.4,0.4,20.0,0.9,2.2,20.0,,,7.0,4.0,6.0,4.0,,4.0,72.0,58.0,295.0,,80,-2.638716660054615,0.9279588058881068
AB107HH,AB10 7HH,AB,0.20448548812664907,15.8,1.0,32.4,4.7,21.6,32.1,,4.1,3.3,0.5,7.7,0.8,5.1,6.2,,,7.0,4.0,5.0,4.0,,4.0,195.0,346.0,828.0,,372,-0.7170425706670153,0.9279588058881068
AB107HJ,AB10 7HJ,AB,0.07255936675461741,11.1,2.0,67.8,5.7,12.7,67.8,,0.6,1.6,0.4,20.0,0.6,0.8,20.0,,,5.0,8.0,8.0,4.0,,4.0,237.0,435.0,143.0,,299,-2.151127712001045,0.9279588058881068
AB107HL,AB10 7HL,AB,0.12532981530343007,32.1,2.8,80.0,7.7,13.8,68.4,,1.1,7.3,0.8,20.0,1.0,1.1,17.9,,,5.0,16.0,17.0,20.0,,20.0,166.0,177.0,265.0,,206,-1.5774936554674333,0.9279588058881068
AB107HN,AB10 7HN,AB,0.17941952506596306,37.3,7.6,80.0,8.4,13.9,64.6,,1.2,8.4,0.8,20.0,1.0,1.0,16.7,,,5.0,16.0,8.0,9.0,,9.0,34.0,291.0,477.0,,352,-0.9895187475204809,0.9279588058881068
AB107HP,AB10 7HP,AB,0.22691292875989444,24.7,4.6,52.0,4.9,14.8,41.7,,4.0,5.1,0.6,13.2,0.9,2.4,9.3,,,5.0,16.0,6.0,7.0,,7.0,23.0,226.0,613.0,,357,-0.47324809664023043,0.9279588058881068
AB107HQ,AB10 7HQ,AB,0.4696569920844327,33.3,7.0,79.9,8.2,12.3,54.7,,7.6,7.5,0.7,20.0,1.0,1.1,13.2,,,5.0,6.0,6.0,8.0,,8.0,398.0,49.0,387.0,,364,2.165468563414384,0.9279588058881068
AB107HR,AB10 7HR,AB,0.10026385224274406,26.1,3.4,80.0,7.1,11.5,54.5,,1.1,6.0,0.8,20.0,1.0,1.1,14.3,,,5.0,10.0,9.0,12.0,,12.0,160.0,226.0,281.0,,224,-1.8499698323208988,0.9279588058881068
AB107HS,AB10 7HS,AB,0.47229551451187335,39.1,5.6,80.0,6.6,11.3,60.0,,10.0,9.5,0.8,20.0,1.0,1.1,15.3,,,5.0,10.0,4.0,10.0,,10.0,302.0,596.0,455.0,,453,2.1941502662410652,0.9279588058881068
AB107HT,AB10 7HT,AB,0.0870712401055409,30.3,1.8,80.0,7.0,13.9,60.5,,1.1,7.6,0.8,20.0,0.9,5.2,15.2,,,5.0,5.0,4.0,7.0,,7.0,167.0,606.0,321.0,,308,-1.9933783464543016,0.9279588058881068
AB107HU,AB10 7HU,AB,0.47229551451187335,38.5,5.1,80.0,7.6,10.5,55.8,,10.0,10.1,0.8,20.0,1.0,1.1,15.2,,,5.0,8.0,4.0,16.0,,16.0,143.0,385.0,570.0,,426,2.1941502662410652,0.9279588058881068
AB107HW,AB10 7HW,AB,0.1266490765171504,30.4,3.8,80.0,8.1,13.3,54.9,,1.1,7.2,0.6,20.0,1.0,1.0,14.5,,,5.0,17.0,8.0,22.0,,22.0,212.0,441.0,395.0,,321,-1.5631528040540927,0.9279588058881068
AB107HX,AB10 7HX,AB,0.3007915567282322,26.7,6.1,54.9,8.3,16.7,43.1,,7.0,6.8,0.8,17.6,0.9,4.3,11.8,,,5.0,17.0,8.0,4.0,,4.0,404.0,487.0,123.0,,274,0.32983958250682666,0.9279588058881068
AB107HY,AB10 7HY,AB,0.47229551451187335,35.5,7.8,68.1,9.0,10.6,47.3,,10.0,9.1,1.0,20.0,1.1,1.3,12.7,,,5.0,4.0,8.0,11.0,,11.0,130.0,196.0,405.0,,323,2.1941502662410652,0.9279588058881068
AB107HZ,AB10 7HZ,AB,0.1015831134564644,26.1,4.1,80.0,7.3,14.2,53.4,,1.1,6.0,0.8,20.0,1.0,2.2,13.7,,,5.0,19.0,12.0,19.0,,19.0,180.0,240.0,347.0,,256,-1.8356289809075583,0.9279588058881068
AB107JA,AB10 7JA,AB,0.4511873350923483,37.4,7.2,77.3,8.5,13.6,53.2,,9.5,9.6,0.8,20.0,1.0,1.2,14.7,,,5.0,19.0,12.0,10.0,,10.0,127.0,395.0,347.0,,315,1.9646966436276208,0.9279588058881068
AB107JB,AB10 7JB,AB,0.47229551451187335,37.4,8.5,73.5,8.5,10.1,49.3,,10.0,8.9,0.5,20.0,0.5,1.0,12.4,,,5.0,19.0,12.0,7.0,,7.0,1.0,137.0,458.0,,348,2.1941502662410652,0.9279588058881068
AB107JD,AB10 7JD,AB,0.2638522427440633,30.6,2.4,80.0,6.3,13.2,53.7,,5.5,7.3,0.7,20.0,0.9,1.1,13.6,,,4.0,5.0,12.0,11.0,,11.0,233.0,290.0,522.0,,383,-0.07170425706670189,0.9279588058881068
AB107JE,AB10 7JE,AB,0.08179419525065965,24.6,6.3,56.4,8.4,10.4,45.5,,1.1,6.3,0.8,20.0,0.9,1.1,13.3,,,4.0,5.0,12.0,11.0,,11.0,208.0,0.0,819.0,,377,-2.0507417521076627,0.9279588058881068
AB107JF,AB10 7JF,AB,0.03693931398416886,28.3,4.4,77.4,6.2,10.4,57.8,,1.2,7.5,0.5,19.9,0.9,1.1,16.2,,,4.0,5.0,12.0,11.0,,11.0,466.0,0.0,807.0,,612,-2.538330700161233,0.9279588058881068
AB107JG,AB10 7JG,AB,0.3733509234828496,29.6,6.0,80.0,6.8,14.4,47.4,,6.3,6.4,0.8,19.7,0.9,1.8,11.3,,,4.0,5.0,4.0,6.0,,6.0,972.0,346.0,184.0,,369,1.1185864102405427,0.9279588058881068
AB107JH,AB10 7JH,AB,0.4670184696569921,30.3,4.5,58.1,5.8,15.5,43.0,,10.0,7.9,0.5,20.0,0.9,2.6,11.9,,,4.0,5.0,8.0,19.0,,19.0,241.0,375.0,406.0,,372,2.136786860587704,0.9279588058881068
AB107JN,AB10 7JN,AB,0.19920844327176784,19.5,3.1,40.6,4.6,20.6,35.3,,4.3,3.6,0.4,7.2,0.8,4.0,6.3,,,5.0,5.0,8.0,6.0,,6.0,109.0,532.0,330.0,,333,-0.7744059763203761,0.9279588058881068
AB107JP,AB10 7JP,AB,0.03034300791556728,15.8,4.5,70.1,5.7,18.0,70.1,,1.0,3.4,0.4,20.0,0.8,3.0,20.0,,,5.0,4.0,8.0,6.0,,6.0,105.0,381.0,135.0,,170,-2.610034957227935,0.9279588058881068
AB107JQ,AB10 7JQ,AB,0.060686015831134574,11.0,1.7,74.9,5.3,15.7,74.9,,0.8,1.8,0.4,20.0,0.8,2.2,20.0,,,13.0,11.0,18.0,6.0,,6.0,220.0,314.0,560.0,,265,-2.2801953747211074,0.9279588058881068
AB107JR,AB10 7JR,AB,0.0474934036939314,14.5,3.1,80.0,6.0,18.5,49.3,,1.0,2.7,0.4,20.0,0.9,3.4,10.9,,,5.0,17.0,12.0,4.0,,4.0,170.0,250.0,106.0,,189,-2.4236038888545104,0.9279588058881068
AB107JS,AB10 7JS,AB,0.13984168865435356,18.3,0.3,55.0,5.0,16.1,43.7,,1.0,2.7,0.4,12.0,0.8,2.1,6.7,,,5.0,5.0,9.0,5.0,,5.0,209.0,178.0,167.0,,187,-1.4197442899206898,0.9279588058881068
AB107JT,AB10 7JT,AB,0.16094986807387862,22.9,0.8,68.3,5.6,16.4,41.1,,2.0,4.9,0.4,20.0,0.7,4.5,9.2,,,5.0,4.0,9.0,8.0,,8.0,236.0,454.0,544.0,,394,-1.190290667307245,0.9279588058881068
AB107JU,AB10 7JU,AB,0.22691292875989444,22.0,4.7,39.9,5.9,11.9,36.2,,4.5,5.1,0.8,10.0,1.0,0.8,9.2,,,5.0,4.0,9.0,8.0,,8.0,173.0,33.0,272.0,,199,-0.47324809664023043,0.9279588058881068
AB107JW,AB10 7JW,AB,0.3799472295514512,32.1,0.4,77.8,5.3,26.0,47.8,,9.4,8.1,0.6,20.0,0.8,6.8,12.1,,,5.0,4.0,9.0,8.0,,8.0,18.0,234.0,220.0,,169,1.1902906673072446,0.9279588058881068
AB107JX,AB10 7JX,AB,0.07519788918205805,25.6,2.9,80.0,5.5,22.2,60.7,,1.0,5.9,0.2,20.0,0.9,2.5,15.9,,,5.0,5.0,9.0,6.0,,6.0,254.0,52.0,236.0,,226,-2.1224460091743644,0.9279588058881068
AB107JY,AB10 7JY,AB,0.47229551451187335,36.6,7.6,80.0,8.7,11.4,51.1,,10.0,8.8,0.9,20.0,1.2,0.9,13.1,,,5.0,5.0,9.0,11.0,,11.0,286.0,29.0,494.0,,368,2.1941502662410652,0.9279588058881068
AB107JZ,AB10 7JZ,AB,0.47229551451187335,37.9,9.3,70.5,9.3,14.1,57.0,,10.0,9.0,0.9,20.0,1.0,0.9,15.0,,,5.0,5.0,9.0,4.0,,4.0,26.0,213.0,167.0,,160,2.1941502662410652,0.9279588058881068
AB107LA,AB10 7LA,AB,0.47229551451187335,33.2,2.4,60.8,5.9,14.1,46.2,,10.0,9.4,0.6,20.0,0.9,0.9,13.4,,,5.0,6.0,9.0,19.0,,19.0,68.0,213.0,227.0,,176,2.1941502662410652,0.9279588058881068
AB107LB,AB10 7LB,AB,0.2691292875989446,27.0,1.5,80.0,5.2,23.7,49.9,,7.5,7.2,0.8,20.0,1.7,4.7,13.4,,,5.0,6.0,9.0,10.0,,10.0,86.0,212.0,252.0,,175,-0.014340851413340499,0.9279588058881068
AB107LD,AB10 7LD,AB,0.03034300791556728,10.5,3.9,33.1,5.3,16.0,33.1,,0.8,1.6,0.4,9.8,0.7,1.9,9.8,,,7.0,6.0,8.0,10.0,,10.0,96.0,133.0,1106.0,,158,-2.610034957227935,0.9279588058881068
AB107LE,AB10 7LE,AB,0.42480211081794195,43.2,2.5,80.0,5.0,13.1,58.5,,5.1,10.2,0.7,20.0,1.0,3.3,13.8,,,7.0,6.0,8.0,12.0,,12.0,111.0,445.0,168.0,,171,1.6778796153608142,0.9279588058881068
AB107LF,AB10 7LF,AB,0.05936675461741424,21.2,2.3,60.0,7.0,13.1,49.6,,1.0,4.5,0.5,15.0,0.9,3.3,11.7,,,7.0,5.0,8.0,12.0,,12.0,88.0,445.0,327.0,,167,-2.294536226134448,0.9279588058881068
AB107LH,AB10 7LH,AB,0.41424802110817943,27.9,3.9,80.0,6.2,16.8,46.3,,7.2,7.0,0.4,20.0,0.9,6.2,11.7,,,7.0,13.0,5.0,22.0,,22.0,156.0,75.0,413.0,,271,1.563152804054092,0.9279588058881068
AB107LJ,AB10 7LJ,AB,0.2546174142480211,26.3,3.6,61.8,5.5,21.5,49.8,,6.0,6.6,0.8,19.1,0.9,6.6,11.5,,,7.0,4.0,9.0,8.0,,8.0,138.0,251.0,392.0,,265,-0.17209021696008417,0.9279588058881068
AB107LL,AB10 7LL,AB,0.3245382585751979,30.2,5.1,74.1,6.7,17.7,51.9,,4.7,6.9,0.8,20.0,1.0,2.6,12.4,,,7.0,5.0,9.0,6.0,,6.0,471.0,43.0,351.0,,375,0.5879749079469521,0.9279588058881068
AB107LN,AB10 7LN,AB,0.47229551451187335,40.4,10.1,80.0,6.7,14.2,54.7,,8.3,8.9,1.0,20.0,1.0,1.1,13.2,,,7.0,5.0,6.0,11.0,,11.0,471.0,89.0,264.0,,209,2.1941502662410652,0.9279588058881068
AB107LP,AB10 7LP,AB,0.47229551451187335,45.8,10.0,80.0,6.7,13.8,56.4,,10.0,11.1,0.9,20.0,1.0,1.0,14.4,,,7.0,5.0,6.0,6.0,,6.0,471.0,266.0,230.0,,239,2.1941502662410652,0.9279588058881068
AB107LQ,AB10 7LQ,AB,0.4182058047493404,35.7,1.4,73.9,1.4,14.0,52.2,,10.0,10.2,0.5,20.0,0.5,4.0,14.9,,,7.0,5.0,6.0,6.0,,6.0,22.0,350.0,296.0,,285,1.606175358294113,0.9279588058881068
AB107LR,AB10 7LR,AB,0.2585751978891821,22.9,8.0,40.0,8.0,21.3,39.4,,3.3,4.0,1.0,10.0,1.1,3.5,8.1,,,7.0,5.0,11.0,6.0,,6.0,139.0,280.0,233.0,,262,-0.12906766272006268,0.9279588058881068
AB107LT,AB10 7LT,AB,0.2467018469656992,22.7,4.0,48.0,7.0,18.2,38.1,,3.8,4.2,0.3,11.2,0.8,3.3,7.4,,,7.0,4.0,17.0,11.0,,11.0,265.0,319.0,282.0,,297,-0.25813532544012596,0.9279588058881068
AB107LU,AB10 7LU,AB,0.03693931398416886,13.4,2.3,40.0,5.2,13.8,37.5,,0.8,2.4,0.5,13.3,0.8,0.9,9.1,,,5.0,10.0,7.0,5.0,,5.0,177.0,142.0,127.0,,159,-2.538330700161233,0.9279588058881068
AB107LW,AB10 7LW,AB,0.7071240105540897,53.5,22.7,76.2,5.2,22.7,61.3,,18.8,15.0,1.2,20.0,0.8,1.2,18.4,,,5.0,10.0,7.0,4.0,,4.0,177.0,191.0,56.0,,83,4.746821817815638,0.9279588058881068
AB107LX,AB10 7LX,AB,0.233509234828496,25.7,5.7,67.4,8.0,16.9,44.6,,2.6,5.0,0.3,20.0,0.8,2.7,9.7,,,5.0,7.0,14.0,13.0,,13.0,192.0,139.0,267.0,,199,-0.4015438395735292,0.9279588058881068
AB107LY,AB10 7LY,AB,0.06860158311345647,30.4,6.1,80.0,7.5,16.9,57.0,,1.1,7.7,0.6,20.0,0.9,2.7,15.7,,,5.0,7.0,14.0,6.0,,6.0,117.0,139.0,168.0,,141,-2.1941502662410657,0.9279588058881068
AB107NA,AB10 7NA,AB,0.47229551451187335,36.3,14.0,59.3,7.5,16.2,49.8,,10.0,8.2,1.1,20.0,0.9,1.2,12.9,,,5.0,7.0,4.0,6.0,,6.0,117.0,149.0,85.0,,110,2.1941502662410652,0.9279588058881068
AB107NB,AB10 7NB,AB,0.2467018469656992,25.7,14.3,40.0,7.5,18.6,40.0,,1.3,4.2,1.2,10.0,0.9,1.2,10.0,,,5.0,7.0,4.0,6.0,,6.0,117.0,232.0,208.0,,224,-0.25813532544012596,0.9279588058881068
AB107ND,AB10 7ND,AB,0.3034300791556728,38.6,10.7,80.0,7.5,12.9,64.2,,5.6,8.8,0.6,20.0,0.9,1.0,16.5,,,5.0,7.0,5.0,5.0,,5.0,117.0,78.0,363.0,,220,0.3585212853335071,0.9279588058881068
AB107NE,AB10 7NE,AB,0.2058047493403694,28.3,8.6,70.4,8.6,16.9,55.2,,5.7,7.0,1.1,18.5,1.1,4.2,14.2,,,5.0,7.0,5.0,5.0,,5.0,100.0,61.0,228.0,,123,-0.7027017192536749,0.9279588058881068
AB107NF,AB10 7NF,AB,0.19656992084432717,30.3,14.2,76.8,8.6,17.4,51.0,,1.2,6.1,0.8,18.9,1.1,1.1,14.2,,,5.0,7.0,8.0,5.0,,5.0,100.0,211.0,227.0,,218,-0.8030876791470571,0.9279588058881068
AB107NG,AB10 7NG,AB,0.5395778364116095,36.7,8.1,78.0,8.1,14.5,52.2,,10.0,9.4,0.9,20.0,1.1,1.1,14.9,,,5.0,7.0,5.0,9.0,,9.0,40.0,74.0,134.0,,108,2.9255336883214205,0.9279588058881068
AB107NH,AB10 7NH,AB,0.47229551451187335,34.2,6.7,55.0,6.7,29.1,45.0,,9.9,6.9,0.8,10.0,0.8,3.9,10.0,,,5.0,7.0,5.0,9.0,,9.0,0.0,62.0,89.0,,66,2.1941502662410652,0.9279588058881068
AB107NJ,AB10 7NJ,AB,0.29023746701846964,34.0,8.8,80.0,8.8,15.1,54.1,,5.7,8.0,0.9,20.0,1.1,1.8,14.5,,,5.0,7.0,21.0,21.0,,21.0,227.0,133.0,228.0,,181,0.21511277120010386,0.9279588058881068
AB107NL,AB10 7NL,AB,0.8773087071240107,56.8,18.0,80.0,8.8,19.5,67.5,,18.1,13.5,0.8,20.0,1.1,1.0,17.0,,,5.0,7.0,21.0,7.0,,7.0,227.0,140.0,357.0,,309,6.596791650136538,0.9279588058881068
AB107NN,AB10 7NN,AB,0.44722955145118737,38.7,3.8,80.0,3.8,14.4,59.5,,10.0,8.5,0.6,20.0,0.6,1.1,14.6,,,5.0,7.0,8.0,11.0,,11.0,15.0,213.0,198.0,,195,1.9216740893875999,0.9279588058881068
AB107NP,AB10 7NP,AB,0.3100263852242744,29.0,8.6,59.4,9.2,18.4,43.9,,8.3,6.1,0.8,12.1,1.1,3.6,9.8,,,5.0,7.0,9.0,9.0,,9.0,13.0,200.0,148.0,,158,0.4302255424002083,0.9279588058881068
AB107NQ,AB10 7NQ,AB,0.4683377308707124,36.7,11.2,67.0,9.2,13.4,53.3,,9.6,7.2,1.0,18.8,1.1,1.1,11.6,,,5.0,7.0,5.0,7.0,,7.0,13.0,197.0,380.0,,304,2.151127712001044,0.9279588058881068
AB107NR,AB10 7NR,AB,0.38918205804749345,37.3,8.2,80.0,8.2,16.6,53.5,,10.0,9.1,0.9,20.0,0.9,2.7,14.1,,,5.0,7.0,8.0,12.0,,12.0,77.0,286.0,272.0,,268,1.290676627200627,0.9279588058881068
AB107NS,AB10 7NS,AB,0.15567282321899736,26.4,2.0,60.5,4.6,14.7,50.8,,1.2,5.3,0.7,18.3,1.2,1.1,12.5,,,5.0,7.0,9.0,7.0,,7.0,85.0,120.0,47.0,,83,-1.2476540729606063,0.9279588058881068
AB107NT,AB10 7NT,AB,0.47229551451187335,29.7,7.6,53.6,8.2,13.7,42.0,,7.2,6.5,0.8,15.5,0.8,1.1,10.3,,,5.0,7.0,5.0,10.0,,10.0,29.0,101.0,381.0,,257,2.1941502662410652,0.9279588058881068
AB107NU,AB10 7NU,AB,0.1345646437994723,22.4,2.6,59.0,7.4,14.3,42.8,,1.2,4.7,1.0,20.0,1.1,1.8,10.7,,,5.0,5.0,9.0,8.0,,8.0,106.0,335.0,468.0,,321,-1.477107695574051,0.9279588058881068
AB107NW,AB10 7NW,AB,0.1517150395778364,20.2,4.5,40.3,6.7,19.3,37.0,,3.0,4.1,0.4,10.5,2.2,2.6,8.4,,,5.0,5.0,8.0,6.0,,6.0,49.0,231.0,344.0,,203,-1.2906766272006271,0.9279588058881068
AB107NX,AB10 7NX,AB,0.29287598944591026,32.6,1.7,67.2,3.8,18.2,51.8,,2.4,6.9,0.7,20.0,0.8,1.3,13.2,,,5.0,5.0,8.0,9.0,,9.0,44.0,279.0,193.0,,211,0.24379447402678425,0.9279588058881068
AB107NY,AB10 7NY,AB,0.31794195250659635,30.5,6.5,68.1,6.5,19.0,51.7,,6.4,6.8,1.0,20.0,1.2,3.3,13.0,,,5.0,5.0,9.0,6.0,,6.0,0.0,116.0,132.0,,115,0.5162706508802507,0.9279588058881068
AB107NZ,AB10 7NZ,AB,0.10817941952506596,22.0,8.6,61.5,8.6,11.9,53.4,,1.1,4.3,0.6,18.6,1.1,1.0,14.2,,,5.0,5.0,8.0,6.0,,6.0,132.0,95.0,429.0,,182,-1.763924723840857,0.9279588058881068
AB107PB,AB10 7PB,AB,0.46437994722955145,33.2,5.8,79.2,7.8,12.0,51.1,,10.0,8.1,0.7,20.0,0.9,1.1,13.6,,,5.0,5.0,4.0,9.0,,9.0,220.0,288.0,194.0,,222,2.108105157761023,0.9279588058881068
AB107PD,AB10 7PD,AB,0.36015831134564646,33.2,9.2,80.0,9.2,17.6,50.5,,9.0,7.8,0.7,20.0,0.7,3.4,12.8,,,5.0,5.0,4.0,5.0,,5.0,134.0,104.0,354.0,,232,0.9751778961071401,0.9279588058881068
AB107PG,AB10 7PG,AB,0.33509234828496043,35.6,4.7,80.0,7.3,18.3,58.4,,5.6,8.0,0.8,20.0,1.0,1.1,15.0,,,5.0,5.0,4.0,4.0,,4.0,13.0,103.0,111.0,,85,0.7027017192536742,0.9279588058881068
AB107PH,AB10 7PH,AB,0.2453825857519789,29.4,14.0,73.6,7.3,18.6,46.5,,3.4,6.0,0.8,17.7,1.0,2.5,11.5,,,5.0,5.0,8.0,5.0,,5.0,13.0,220.0,160.0,,197,-0.27247617685346587,0.9279588058881068
AB107PL,AB10 7PL,AB,0.47229551451187335,41.5,14.3,80.0,7.3,18.2,58.5,,10.0,9.7,1.0,20.0,1.0,1.2,16.0,,,5.0,5.0,8.0,11.0,,11.0,13.0,102.0,179.0,,149,2.1941502662410652,0.9279588058881068
AB107PP,AB10 7PP,AB,0.2071240105540897,24.3,1.8,63.0,4.9,16.5,52.9,,1.2,4.7,0.3,19.3,0.4,1.0,15.1,,,5.0,5.0,6.0,11.0,,11.0,103.0,137.0,259.0,,164,-0.6883608678403349,0.9279588058881068
AB107PQ,AB10 7PQ,AB,0.46437994722955145,39.6,4.6,78.3,4.6,14.2,56.7,,6.3,8.8,0.8,20.0,1.1,1.0,13.6,,,5.0,5.0,4.0,8.0,,8.0,31.0,269.0,160.0,,183,2.108105157761023,0.9279588058881068
AB107PR,AB10 7PR,AB,0.33245382585751976,39.0,8.2,80.0,8.6,14.6,64.4,,5.7,8.4,1.0,20.0,1.1,1.1,15.6,,,5.0,5.0,10.0,12.0,,12.0,125.0,142.0,241.0,,188,0.6740200164269932,0.9279588058881068
